id	name	placement_count	placement_bin	top_sequences
10	node_10	12	2	bf08471de7a26a6fd86aa811d8a522ca unclassified.Thysanoptera_cluster62; b3372f183ddc4cb42a4281db28294e64 Thripidae_cluster57; a3924a8df85c235c187a1cf286bb5cba Thripidae_cluster5; 978ae59ed6a84d95737edfc5ca01f947 Thripidae_cluster15; abe129d1c638498327dc0e92883a5808 unclassified.Thysanoptera_cluster19; 0142db7108fe2e9addfbba9dd48676c1 Thripidae_cluster38; e4ad2cfa508b00117930c86d489c8bf5 unclassified.Thysanoptera_cluster47; 1546fc9ac748e486de25d110969108aa unclassified.Thysanoptera_cluster60; abaa476b845748ffc6d0f52b99b5e5f9 Thripidae_cluster39; 9a4a132524029f5eb6220f4a80901489 unclassified.Thysanoptera_cluster3; 62dc3d24f81449dc59da9e843b48c0c7 Thripidae_cluster44; 36b5333a8753d927b60162bd2e766f91 Thripidae_cluster43
11	Megalurothrips_usitatus	7	2	217d909249f7ea8c714d5ec81757394c Thripidae_cluster51; 1e20f7e7e39f805d9d7fa045d7a3f977 unclassified.Thysanoptera_cluster30; 468131370e78a1e9cb3947f44dc2f894 unclassified.Thysanoptera_cluster34; 4db8a872c0bba1a7bafe959a0325418d unclassified.Thysanoptera_cluster51; 9114d339ab5736f94c0e98055f95f048 Thripidae_cluster53; ceef9ca45eef028a19a101fd5295d5c7 Thysanoptera_X_cluster1; f7cbc7407b803c8f7949b4998a99a25b Thripidae_cluster37
12	node_12	35	3	b0a542880910989bb5f6cd218a66874c Thripidae_cluster47; 474606dc489384741b210e2703c63c56 unclassified.Thysanoptera_cluster27; 62dc3d24f81449dc59da9e843b48c0c7 Thripidae_cluster44; 71489cd3793ee82868cad6aa7979ff65 Thripidae_cluster34; e4ad2cfa508b00117930c86d489c8bf5 unclassified.Thysanoptera_cluster47; 978ae59ed6a84d95737edfc5ca01f947 Thripidae_cluster15; abe129d1c638498327dc0e92883a5808 unclassified.Thysanoptera_cluster19; 36b5333a8753d927b60162bd2e766f91 Thripidae_cluster43; 31b9ae7e74c3c3bf13c5352fdcc36d66 unclassified.Thysanoptera_cluster68; 32ef75f7b8265cb1cf24b96d7c370014 unclassified.Thysanoptera_cluster18; 9a4a132524029f5eb6220f4a80901489 unclassified.Thysanoptera_cluster3; b3372f183ddc4cb42a4281db28294e64 Thripidae_cluster57; abaa476b845748ffc6d0f52b99b5e5f9 Thripidae_cluster39; 24e225c2f24f2cbba4bcb0485834aed1 Thripidae_cluster22; 1546fc9ac748e486de25d110969108aa unclassified.Thysanoptera_cluster60; e4b5f0342bbe0053824482fd975cd8a2 Thripidae_cluster17; f325f5e0d706d9a1df2e73e476b191b2 Thripidae_cluster24; bf08471de7a26a6fd86aa811d8a522ca unclassified.Thysanoptera_cluster62; 098adb3175450cae1aee4233f6b51855 Thripidae_cluster42; 3d1a387e84912156a3045c09efc3bc94 unclassified.Thysanoptera_cluster76; 3952c3ed67ca5dd2ca322e826300c93b Thripidae_cluster23; 76a2448c76473f7e6feb8e74ad1cbf86 unclassified.Thysanoptera_cluster41; 0142db7108fe2e9addfbba9dd48676c1 Thripidae_cluster38; b384841863120eea2bbd70d812df18f9 Thripidae_cluster32; 10d5628e7ac9e21d627e9d494a5e0443 Thripidae_cluster30; 2a123a0207e3e7e2d64008afbb4c5f74 Thripidae_cluster41; b16a152fa237ce5e0c860547e4c17e62 unclassified.Thysanoptera_cluster12; f8db44f8b80b1f7d660d300357579ab7 Thripidae_cluster9; 429e8a2bbcee3828cebbea61d4c7bc0d Thripidae_cluster20; 9ff570b587faa6d83bdfdc69a61362ec Thripidae_cluster56; 84dd376c2cd5673a1b0cd68259e8da23 Thripidae_cluster50; 785f82023f6190607039d0468c9bd7b0 unclassified.Thysanoptera_cluster87; 77fdc9eee1c3adfb93ce175282bc33de unclassified.Thysanoptera_cluster15; 06d23cac0e6da63f3e3e6248d95f41d7 Thripidae_cluster40; a3924a8df85c235c187a1cf286bb5cba Thripidae_cluster5
13	node_13	38	3	012f8a20bc8a6e4f6b814bd192d4c6b6 Pygmephoridae_cluster26; 1c8b4b0647666ab61f801ec1d8d1949e Thripidae_cluster52; ae67626c7a61d7f89e1f3d3ec7ea291f Aeolothripidae_cluster3; a28b91297712ab4360a4490edd15a865 Thripidae_cluster3; 2f42f3f3e826dcc20cf716ce8fbcc57c unclassified.Thysanoptera_cluster7; f560a0d1ea7a8b08cf0bb32800c86f04 Thripidae_cluster1; 0dfa5d9a6dbb43ba787ff3208d2e8357 unclassified.Thysanoptera_cluster28; be7dcfcd035cf43c6693206a7e9261c2 unclassified.Thysanoptera_cluster23; c4dca6749f1b3a0a2ac3f7d1fbb840d8 unclassified.Thysanoptera_cluster42; e7790c96199b923e6243d381487f3148 unclassified.Thysanoptera_cluster55; 9619f84ca2b666de597a05e54c652f7e Thripidae_cluster29; 31d78d725af02e7d66eb385016509dcb Thripidae_cluster4; 0eeeaaa3421dd09da485a2f060ddc484 unclassified.Thysanoptera_cluster11; 481347bf5b8902655cc63415e7198462 Thripidae_cluster6; 6348ec9115a3cf4ff4128395feea7005 Thripidae_cluster11; 575cbbcb3b7c58d113aaf83b4ad94f02 Thripidae_cluster10; 06365d9516b7b162af456fb8906af94e Thripidae_cluster31; d3d0919114c22a91d5e7a512299b80db Thripidae_cluster25; 054b1fccc091e3db423a3964d4d00b83 Thripidae_cluster2; cd706d3519682ae539029eb5110dde74 Thripidae_cluster26; 7347b7da54edc3903e9545d4032779e3 Aeolothripidae_cluster5; 226ef507ee6c2b416227120f5906e1d8 unclassified.Thysanoptera_cluster35; bcc0c62de1e7242a91b69277c5977e74 Thripidae_cluster35; 06d23cac0e6da63f3e3e6248d95f41d7 Thripidae_cluster40; 65071e503ee46b15d0910e3fccc64eaf Aeolothripidae_cluster9; bd82514edee671a8b9aa6f4ad1f8a7e8 Thripidae_cluster54; 23ef9f59c47941fc91f3ab26260ef025 Aeolothripidae_cluster1; b3a220a9b3a5a35534efb544030d4d24 Thripidae_cluster58; b16a152fa237ce5e0c860547e4c17e62 unclassified.Thysanoptera_cluster12; f8db44f8b80b1f7d660d300357579ab7 Thripidae_cluster9; 76db684b51a4e4e6e7c13e78d9152842 Trombidiidae_cluster4; 2a123a0207e3e7e2d64008afbb4c5f74 Thripidae_cluster41; 2f549e5e100b2f61f2cb25d95a9f0620 Aeolothripidae_cluster8; 24e69363ec8c9fb0451190a27b16aed7 Erythraeidae_cluster52; 26e7e030f64721d052d6cbaf2ac48195 Erythraeidae_cluster40; 8c4c761eb21f9a86eac4eb44304a6465 unclassified.Thysanoptera_cluster33; 85354be2a54354ea409a1ef5cfb7b72c unclassified.Trombidiformes_cluster18; 775fdb324264f8bbb9afa05b8831b26f Pygmephoridae_cluster7
14	node_14	0	0	
15	Diaphorina_citri	0	0	
16	Trioza_urticae	1	1	1446563998420bb2e6f8e2aad06c9e2c Triozidae_cluster1
17	Bactericera_cockerelli	21	3	0382eeca4306a0b4c68655007347f7ee Triozidae_cluster15; 034d767d6386802f10b1f15317810075 Psyllidae_cluster10; 1e2e327d99e22bdf16e3948fe1382c97 unclassified.Hemiptera_cluster8; 203a91a923f471b15fe265f33647a58a unclassified.Hemiptera_cluster56; 1b4c103ec71fabb3c1518b62c5b80872 Triozidae_cluster11; 2031328f4c25fcb2a972bc58ff42e664 unclassified.Hemiptera_cluster44; 2d692688e8a3fa9c101180eefc1af8ce Psyllidae_cluster20; 39a23a058f638898c3b8e87f9edba784 Triozidae_cluster6; 41d5d1d7db8efe543cd127601667e07b unclassified.Hemiptera_cluster6; 52dfd00ceac12e48f34eeb7390181140 Triozidae_cluster7; 55dd7ff23e09e9443b21df4af6f175ad unclassified.Hemiptera_cluster29; 9408288299dfc9f3c7775bef37b7abd6 unclassified.Hemiptera_cluster152; 90b9dac8134ab9d32a9f3cb67c60e79a Triozidae_cluster17; 98f31d915a4e906b2904ac12d43b30f9 unclassified.Hemiptera_cluster21; b303231fa4e587f7474371a6e089ba65 Triozidae_cluster8; c8b5471e0a337a41ae0f2ca73aece317 unclassified.Hemiptera_cluster455; e6075e1f46a33278b87bba659aec2f3b Triozidae_cluster13; 1b747b6d89b8cfed052c1f6728673f98 unclassified.Hemiptera_cluster2; 8996cae9234f133487f02d587bad9733 Psyllidae_cluster16; 92a097fa01846a6e1a8fa1e19fc96a69 Psyllidae_cluster19; 4c62cfeddb92ed7392d212c7f706fb45 unclassified.Hemiptera_cluster52
18	node_18	0	0	
19	node_19	0	0	
20	Bemisia_tabaci	10	2	2133398c871a431144e7cdc98b45e1d4 unclassified.Hemiptera_cluster439; 1d480fc90f86be420db5ed4cd7a69e48 unclassified.Hemiptera_cluster40; 067fffd80f23f790695fe2bf57b6a9eb unclassified.Hemiptera_cluster483; 6e07d83ade9bedf7124b88d9dfc0ebeb Aleyrodidae_cluster8; 77c2bbba53ef802dc32d7ce136c08d3d Aleyrodidae_cluster12; 74c8fe0acbaa1f7564a8345053be0861 Aleyrodidae_cluster6; ac2017469d3a165e6670370dbdec2412 Aleyrodidae_cluster10; dce539bb72199492eb7e37cc546043b3 Aleyrodidae_cluster11; 8e9d1b1897f78d8c192af115c0b4abe2 unclassified.Hemiptera_cluster179; 3ee789db8ec493edcce40976dd10cfd9 unclassified.Hemiptera_cluster276
21	Trialeurodes_vaporariorum	5	2	70a95c241a707d7855fbffde0ba92dd7 Aleyrodidae_cluster1; 9232f2aa7d3b3ea67fafa4d1c248cb38 Aleyrodidae_cluster16; c61841908cb39400bb1c98359d65ebf3 Aleyrodidae_cluster13; d38ce02266de1a2029a1ce3476d37c80 unclassified.Hemiptera_cluster368; 3ee789db8ec493edcce40976dd10cfd9 unclassified.Hemiptera_cluster276
22	node_22	0	0	
23	node_23	0	0	
24	Aspidiotus_destructor	0	0	
25	Kerria_lacca	0	0	
26	Pseudococcus_longispinus	0	0	
27	Planococcus_citri	0	0	
28	Pseudococcus_jackbeardsleyi	0	0	
29	node_29	0	0	
30	node_30	0	0	
31	Phenacoccus_solenopsis	0	0	
32	Maconellicoccus_hirsutus	0	0	
33	node_33	0	0	
34	node_34	0	0	
35	node_35	0	0	
36	node_36	0	0	
37	Parthenolecanium_corni	0	0	
38	Coccus_hesperidum	0	0	
39	node_39	0	0	
40	Ericerus_pela	0	0	
41	node_41	0	0	
42	node_42	0	0	
43	Adelges_cooleyi	0	0	
44	Adelges_tsugae	0	0	
45	node_45	0	0	
46	Daktulosphaira_vitifoliae	0	0	
47	node_47	0	0	
48	Eriosoma_lanigerum	0	0	
49	Cinara_cedri	0	0	
50	Tuberolachnus_salignus	0	0	
51	node_51	0	0	
52	Therioaphis_trifolii	0	0	
53	Sipha_flava	0	0	
54	Sipha_maydis	1	1	abfa10ceedde0243b5152d391b8d39c0 Aphididae_cluster238
55	node_55	39	3	21e98936c95c50af947932437752449f Aphididae_cluster70; 08a53f4ab676b2885fe13b2958af8bc3 Aphididae_cluster252; 3d982936ed9310f89c22f4e01c10ef68 Aphididae_cluster312; 2ca89dd68872c48ef2997b720cb88276 Aphididae_cluster256; 3ecb3e0ea747a0ac97d1e975ae0da9b8 Aphididae_cluster154; 3c266d9713499fa18fbc92d4dfc32d46 Aphididae_cluster151; 3a5304fcb09d9e8b2ce1e3c85b6705de Aphididae_cluster17; 67c9d356a42ffb72cc2a0aa0db00bc93 Aphididae_cluster67; 5f630b1eb7fe78076952753f6f0fe4b6 Aphididae_cluster7; 517ed152350b64b29b3563a4a9ea3a6c Aphididae_cluster185; 760981e4e7a63f476c7ef40d23922177 Aphididae_cluster157; a4c74a60f96b8d182515fed3bcf691b1 Aphididae_cluster52; bf96045203119741739fa9828c6c9a70 Aphididae_cluster331; 9eef8e045c2fdf6680ac1c0d8900202f Aphididae_cluster201; 90f7b654be2049db3e0a13da6c9fa8ca Adelgidae_cluster4; c3a2512eeb7e604c689d8b5985f53ffa Aphididae_cluster32; e63baa88e53c10cbe49fd1793eb125f2 Aphididae_cluster225; 1a3641a400b6e6f6abe7aafddea7664c Aphididae_cluster58; d945ebe077417ecf38d62df784a9729a Aphididae_cluster329; d3106fa559b67abd4c3d626818742132 Aphididae_cluster98; f6ac47951969eb17ff7d81d4bfc2ec67 Aphididae_cluster163; 47e4a0b96e2958b43cc0684b9d166580 Aphididae_cluster75; 473f40ca34711b03caba2be2f728de11 Aphididae_cluster245; acc6f05edc9fcdac64b2649d8b0fe178 Aphididae_cluster29; 868318120f8d0809d40c3b1943a5c1e1 Aphididae_cluster38; 9403b6d127529c6a6780e121cf829f0e Aphididae_cluster23; ce48c411deaef7bbb177af2f064728f8 unclassified.Hemiptera_cluster319; 937f8e4678e933375fa476cf6979f9bc Aphididae_cluster12; 9f76f683252021bd9fdd4adfb70f2e4a Aphididae_cluster8; 9200e8f0655fe0c15b0cc5177daf459a Aphididae_cluster137; 87a4756c2e0e5cb2f045c78c66f0f542 Aphididae_cluster293; 8679d7074382920342640a1a6defe256 Aphididae_cluster44; d5970642b075b260279eb97bae17347d Aphididae_cluster216; f8877417441d5aa52740a85c55b0e0ef unclassified.Hemiptera_cluster517; 354064d84f300701e03ffc856a2926eb Aphididae_cluster180; 7fefb19392b01e295cf0f37b4d9ab3f0 unclassified.Hymenoptera_cluster521; d6adf55e3ebe299fa77562f4e5773632 Hymenoptera_X_cluster66; 44dae76a18d7130c93f6699530e8a26f Dryinidae_cluster6; 679dd61a5f858293cef2a66e579bec18 Dryinidae_cluster16
56	Periphyllus_acericola	2	1	4742f7c534871fe4fccfa71a03aa1b12 Aphididae_cluster113; c321f25ea32c452152ffbcee60f113d2 Aphididae_cluster93
57	node_57	14	2	679dd61a5f858293cef2a66e579bec18 Dryinidae_cluster16; a7239ee739236df64a13fd57c2db8e05 unclassified.Hemiptera_cluster127; 51b8b462150386ad246035dfca74ecd3 Ortheziidae_cluster1; d6adf55e3ebe299fa77562f4e5773632 Hymenoptera_X_cluster66; 44dae76a18d7130c93f6699530e8a26f Dryinidae_cluster6; 5e1812d815edb24d014286fafe80eb38 Dryinidae_cluster13; 7fefb19392b01e295cf0f37b4d9ab3f0 unclassified.Hymenoptera_cluster521; 02e1b8e4f0a1d982ccc894f3ddcd4b51 Dryinidae_cluster24; f8877417441d5aa52740a85c55b0e0ef unclassified.Hemiptera_cluster517; 2401f4c88244833174f0a4d92ce6fbbc Longidoridae_cluster1; cbd590d97f96725b2fc97277fdf9cef8 Mutillidae_cluster2; 85e49d5f73dd671cbfcd43e0e4a6fba5 Erythraeidae_cluster10; 4b0f01a9f4d07791c3f4f96c0bdb07e6 Dryinidae_cluster21; aae9716a203136d4ef293bcf7dac7d5d Dryinidae_cluster74
